Tipo o Rol Declarante;Razón Social;Nombre Establecimiento;ID Establecimiento (VU);Región;Provincia;Comuna;Huso;Coordenada Este;Coordenada Norte;Capítulo LER;Subcapitulo LER;Nombre LER;Tratamiento;Valorización/eliminación;Cantidad (Toneladas);Declaración/Estimación;Año;Nombre de Establecimiento Destinatario;Razón Social Destinatario;Comuna Destinatario;Región Destinatario
Municipio;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;431261;Metropolitana de Santiago;Santiago;Independencia;19;346178;6300803;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;Pretratamiento de papel, cartón y productos de papel;Valorización;15,21;Declaración;2017;RECICLADOS INDUSTRIALES S A PLANTA RENCA;RECICLADOS INDUSTRIALES S.A;Renca;Metropolitana de Santiago
Municipio;MUNICIPALIDAD DE LOS ANDES;ILUSTRE MUNICIPALIDAD DE LOS ANDES;4053494;Valparaíso;Los Andes;Los Andes;19;350228;6366140;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Residuos biodegradables de cocinas y restaurantes;Relleno sanitario;Eliminación;48,02;Declaración;2017;;I. Municipalidad de Los Andes;;
Municipio;I MUNICIPALIDAD DE COLLIPULLI;ILUSTRE MUNICIPALIDAD DE COLLIPULLI;5441610;Araucanía;Malleco;Collipulli;18;725593;5795760;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Vertedero;Eliminación;7200;Declaración;2017;VERTEDERO LICURA (MULCHEN;EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA;Hualpen;Bío-Bío
Municipio;I MUNICIPALIDAD DE CHILLAN;ILUSTRE MUNICIPALIDAD DE CHILLÁN;4587735;Ñuble;Diguillín;Chillán;18;759040;5944934;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;Preparación para reutilización;Valorización;3,9;Declaración;2017;;COMERCIALIZADORA UNIÓN LTDA.;;
Municipio;I MUNICIPALIDAD ESTACION CENTRAL;ILUSTRE MUNICIPALIDAD DE ESTACIÓN CENTRAL;4085309;Metropolitana de Santiago;Santiago;Estación Central;19;342970;6297087;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos de limpieza viaria;Relleno sanitario;Eliminación;78223,09;Declaración;2017;RELLENO SANITARIO SANTIAGO PONIENTE;VEOLIA SU CHILE SA;Las Condes;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;5465466;Valparaíso;Valparaíso;Concón;19;264736;6354721;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Relleno sanitario;Eliminación;18365,8;Declaración;2017;RELLENO SANITARIO EL MOLLE;GESTION INTEGRAL DE RESIDUOS S A;Valparaíso;Valparaíso
Municipio;ILUSTRE MUNICIPALIDAD DE MARÍA PINTO;ILUSTRE MUNICIPALIDAD DE MARÍA PINTO;4055181;Metropolitana de Santiago;Melipilla;María Pinto;19;302741;6289302;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;Vertedero;Eliminación;1080;Declaración;2017;VERTEDERO POPETA;I MUNICIPALIDAD DE MELIPILLA;Melipilla;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE QUELLON;ILUSTRE MUNICIPALIDAD DE QUELLÓN;911612;Los Lagos;Chiloé;Quellón;18;612426;5225123;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Aceites y grasas comestibles;Pretramiento de aceites y grasas comestibles;Valorización;2,45;Declaración;2017;SOCIEDAD GENERAL RENDERING CHILE SA;SOCIEDAD GENERAL RENDERING CHILE LIMITADA;Lampa;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE QUILICURA;ILUSTRE MUNICIPALIDAD DE QUILICURA;4053448;Metropolitana de Santiago;Santiago;Quilicura;19;338945;6306496;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;Reciclaje de vidrio;Valorización;12,05;Declaración;2017;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE QUILICURA;ILUSTRE MUNICIPALIDAD DE QUILICURA;4053448;Metropolitana de Santiago;Santiago;Quilicura;19;338945;6306496;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;Reciclaje de papel, cartón y productos de papel;Valorización;13,764;Declaración;2017;RELLENO SANITARIO LOMA LOS COLORADOS;K D M  S A;Quilicura;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE LLAY LLAY;ILUSTRE MUNICIPALIDAD DE LLAILLAY;4055165;Valparaíso;San Felipe de Aconcagua;Llaillay;19;317020;6364597;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Relleno sanitario;Eliminación;8057,61;Declaración;2017;RELLENO SANITARIO LOMA LOS COLORADOS;K D M  S A;Quilicura;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE QUILACO;ILUSTRE MUNICIPALIDAD DE QUILACO;4243225;Bío-Bío;Biobío;Quilaco;18;764458;5824981;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Vertedero;Eliminación;863,5;Declaración;2017;VERTEDERO LICURA (MULCHEN;EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA;Hualpen;Bío-Bío
Municipio;ILUSTRE MUNICIPALIDAD DE RAUCO;ILUSTRE MUNICIPALIDAD DE RAUCO;3023082;Maule;Curicó;Rauco;19;288483;6132788;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Relleno sanitario;Eliminación;2953,55;Declaración;2017;RELLENO SANITARIO DEL MAULE S.A.;RELLENOS SANITARIOS DEL MAULE S A;Quilicura;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE QUINTERO;ILUSTRE MUNICIPALIDAD DE QUINTERO;4055167;Valparaíso;Valparaíso;Quintero;19;263301;6369659;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos de mercados;Compostaje;Valorización;26,74;Declaración;2017;;Cancha Piloto Compostaje Municipal ;;
Municipio;I MUNICIPALIDAD DE PANGUIPULLI;ILUSTRE MUNICIPALIDAD DE PANGUIPULLI;911609;Los Ríos;Valdivia;Panguipulli;18;728549;5608404;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 20 01 21, 20 01 23 y 20 01 35;Reciclaje de papel, cartón y productos de papel;Valorización;12;Declaración;2017;COMPAÑÍA NACIONAL DE RECICLAJE;COMPANIA NACIONAL DE RECICLAJE LIMITADA;Las Condes;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE O HIGGINS;ILUSTRE MUNICIPALIDAD DE O´HIGGINS;4085304;Aisén del General Carlos Ibañez del Campo;Capitán Prat;OHiggins;18;680470;4628756;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 20 01 21, 20 01 23 y 20 01 35;Residuos voluminosos;Valorización;1,7;Declaración;2017;;Ilustre municipalidad de OHiggins;;
Municipio;I MUNICIPALIDAD DE O HIGGINS;ILUSTRE MUNICIPALIDAD DE O´HIGGINS;4085304;Aisén del General Carlos Ibañez del Campo;Capitán Prat;OHiggins;18;680470;4628756;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;Reciclaje de plásticos;Valorización;2,142;Declaración;2017;;Ilustre municipalidad de OHiggins;;
Municipio;I MUNICIPALIDAD DE LAS GUAITECAS;ILUSTRE MUNICIPALIDAD DE GUAITECAS;5441646;Aisén del General Carlos Ibañez del Campo;Aisén;Guaitecas;18;600414;5140326;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Relleno sanitario;Eliminación;1075;Declaración;2017;;Relleno Sanitario Municipalidad de Guaitecas;;
Municipio;I MUNICIPALIDAD DE PUENTE ALTO;MUNICIPALIDAD DE PUENTE ALTO;5463019;Metropolitana de Santiago;Cordillera;Puente Alto;19;353437;6281861;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;Reciclaje de vidrio;Valorización;579,71;Declaración;2017;CRISTALERIAS DE CHILE  S A;CRISTALERIAS DE CHILE S A;Padre Hurtado;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE PUENTE ALTO;MUNICIPALIDAD DE PUENTE ALTO;5463019;Metropolitana de Santiago;Cordillera;Puente Alto;19;353437;6281861;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;Depósito de Seguridad;Eliminación;0,15;Declaración;2017;PAPELES Y CARTONES CONSTANZA LTDA;PAPELES Y CARTONES CONSTANZA LIMITADA;Pudahuel;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE PUENTE ALTO;MUNICIPALIDAD DE PUENTE ALTO;5463019;Metropolitana de Santiago;Cordillera;Puente Alto;19;353437;6281861;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;Pretratamiento de papel, cartón y productos de papel;Valorización;0,57;Declaración;2017;RECUPAC SUCURSAL PINTANA;RECUPAC S A;Huechuraba;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE GENERAL LAGOS;ILUSTRE MUNICIPALIDAD DE GENERAL LAGOS;912285;Arica y Parinacota;Parinacota;General Lagos;19;448895;8054625;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;Basural;Eliminación;5;Declaración;2017;;ILUSTRE MUNICIPALIDAD DE GENERAL LAGOS;;
Municipio;ILUSTRE MUNICIPALIDAD DE SAN JOSÉ DE MAIPO;ILUSTRE MUNICIPALIDAD DE SAN JOSÉ DE MAIPO;5441685;Metropolitana de Santiago;Cordillera;San José de Maipo;19;374473;6276873;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;Relleno sanitario;Eliminación;8978,546;Declaración;2017;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;San Bernardo;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE PUTRE;ILUSTRE MUNICIPALIDAD DE PUTRE;4448077;Arica y Parinacota;Parinacota;Putre;19;440869;7987860;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;Basural;Eliminación;11,3;Declaración;2017;VERTEDERO MUNICIPAL;I MUNICIPALIDAD DE ARICA;Arica;Arica y Parinacota
Municipio;ILUSTRE MUNICIPALIDAD DE PUTRE;ILUSTRE MUNICIPALIDAD DE PUTRE;4448077;Arica y Parinacota;Parinacota;Putre;19;440869;7987860;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;Basural;Eliminación;10,98;Declaración;2017;VERTEDERO MUNICIPAL;I MUNICIPALIDAD DE ARICA;Arica;Arica y Parinacota
Municipio;ILUSTRE MUNICIPALIDAD DE PAREDONES;ILUSTRE MUNICIPALIDAD DE PAREDONES;3023301;Libertador General Bernardo Ohiggins;Cardenal Caro;Paredones;19;234201;6161725;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Pinturas, tintas, adhesivos y resinas distintos de los especificados en el código 20 01 27;Relleno sanitario;Eliminación;8;Declaración;2017;RELLENO SANITARIO DEL MAULE S.A.;RELLENOS SANITARIOS DEL MAULE S A;Quilicura;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE LAMPA;ILUSTRE MUNICIPALIDAD DE LAMPA;325221;Metropolitana de Santiago;Chacabuco;Lampa;19;325103;6315559;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;Co-procesamiento;Valorización;6,58;Declaración;2017;COACTIVA;CEMENTO POLPAICO S A;Las Condes;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE LAMPA;ILUSTRE MUNICIPALIDAD DE LAMPA;325221;Metropolitana de Santiago;Chacabuco;Lampa;19;325103;6315559;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Metales;Pretratamiento de Metales ;Valorización;2,424;Declaración;2017;RECICLADOS INDUSTRIALES PLACILLA;RECICLADOS INDUSTRIALES S.A;Renca;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE LAMPA;ILUSTRE MUNICIPALIDAD DE LAMPA;325221;Metropolitana de Santiago;Chacabuco;Lampa;19;325103;6315559;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;Preparación para reutilización;Valorización;29355,46;Declaración;2017;BRAVO ENERGY CHILE SA;BRAVO ENERGY CHILE S A;Maipú;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE LANCO;ILUSTRE MUNICIPALIDAD DE LANCO;1986194;Los Ríos;Valdivia;Lanco;18;691050;5630818;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Vertedero;Eliminación;4390;Declaración;2017;VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL;I MUNICIPALIDAD VALDIVIA;Valdivia;Los Ríos
Municipio;I MUNICIPALIDAD DE LANCO;ILUSTRE MUNICIPALIDAD DE LANCO;1986194;Los Ríos;Valdivia;Lanco;18;691050;5630818;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Lodos de fosas sépticas;Vertedero;Eliminación;24;Declaración;2017;CACHILLAHUE;SOC DE INVERSIONES TRESOL LIMITADA;Puerto Montt;Los Lagos
Municipio;ILUSTRE MUNICIPALIDAD DE QUINCHAO;ILUSTRE MUNICIPALIDAD DE QUINCHAO;911614;Los Lagos;Chiloé;Quinchao;18;629376;5289207;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;Pretratamiento de papel, cartón y productos de papel;Valorización;3,0655;Declaración;2017;ACOPIO DE RESIDUOS SOLIDOS RECICLABLES;RECICLACHILOE SPA;Castro;Los Lagos
Municipio;ILUSTRE MUNICIPALIDAD DE QUINCHAO;ILUSTRE MUNICIPALIDAD DE QUINCHAO;911614;Los Lagos;Chiloé;Quinchao;18;629376;5289207;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Metales;Pretratamiento de Metales ;Valorización;0,045;Declaración;2017;ACOPIO DE RESIDUOS SOLIDOS RECICLABLES;RECICLACHILOE SPA;Castro;Los Lagos
Municipio;ILUSTRE MUNICIPALIDAD DE CHIMBARONGO;ILUSTRE MUNICIPALIDAD DE CHIMBARONGO;3022881;Libertador General Bernardo Ohiggins;Colchagua;Chimbarongo;19;313060;6157304;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;Relleno sanitario;Eliminación;9567;Declaración;2017;RELLENO SANITARIO DEL MAULE S.A.;RELLENOS SANITARIOS DEL MAULE S A;Quilicura;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE CHIMBARONGO;ILUSTRE MUNICIPALIDAD DE CHIMBARONGO;3022881;Libertador General Bernardo Ohiggins;Colchagua;Chimbarongo;19;313060;6157304;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;Reciclaje de vidrio;Valorización;86,5;Declaración;2017;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE VINA DEL MAR;ILUSTRE MUNICIPALIDAD DE VIÑA DEL MAR;4055170;Valparaíso;Valparaíso;Viña del Mar;19;261471;6343214;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;Reciclaje de vidrio;Valorización;275,558;Declaración;2017;CRISTALERIAS DE CHILE  S A;CRISTALERIAS DE CHILE S A;Padre Hurtado;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE TALCA;ILUSTRE MUNICIPALIDAD DE TALCA;3022588;Maule;Talca;Talca;19;258013;6076459;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;Reciclaje de vidrio;Valorización;540,88;Declaración;2017;BODEGA DE ENVASES DE VIDRIO Y PLANTA DE RECICLADO DE VIDRIO;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;4053500;Metropolitana de Santiago;Santiago;La Florida;19;351534;6289621;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;Reciclaje de plásticos;Valorización;8,38;Declaración;2017;RECUPAC SUCURSAL PINTANA;RECUPAC S A;Huechuraba;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;4053500;Metropolitana de Santiago;Santiago;La Florida;19;351534;6289621;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Residuos de parques y jardines (incluidos los residuos de cementerios);Residuos biodegradables;Relleno sanitario;Eliminación;1338,01;Declaración;2017;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;San Bernardo;Metropolitana de Santiago
Municipio;I MUNICIPALIDAD DE YUMBEL;ILUSTRE MUNICIPALIDAD DE YUMBEL;1963656;Bío-Bío;Biobío;Yumbel;18;716707;5891440;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Residuos biodegradables de cocinas y restaurantes;Relleno sanitario;Eliminación;1090,02;Declaración;2017;RELLENO SANITARIO LOS ANGELES;DEMARCO S A;Quilicura;Metropolitana de Santiago
