"tipo_o_rol_declarante";"razon_social";"nombre_establecimiento";"id_establecimiento_vu";"ciiu4";"region";"comuna";"ciiu6";"huso";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_de_establecimiento_destinatario";"razon_social_destinatario";"comuna_destinatario";"region_destinatario"
"Generador Municipal";"I MUNICIPALIDAD DE TOCOPILLA";"ILUSTRE MUNICIPALIDAD DE TOCOPILLA";881991;"Actividades de la administración pública en general";"Antofagasta";"Tocopilla";"Actividades de la administración pública en general";19;"-37,76125";"-75,56341";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";12527,896;"Declaración";2020;"5482604";"Relleno Sanitario Quebrada Ancha";"I MUNICIPALIDAD DE TOCOPILLA";"Tocopilla";"Antofagasta"
"Generador Municipal";"I MUNICIPALIDAD DE MARIA ELENA";"ILUSTRE MUNICIPALIDAD DE MARÍA ELENA";5441420;"Actividades de la administración pública en general";"Antofagasta";"María Elena";"Actividades de la administración pública en general";19;"-43,31412";"-75,29109";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";135950,3;"Declaración";2020;"5482604";"Relleno Sanitario Quebrada Ancha";"I MUNICIPALIDAD DE TOCOPILLA";"Tocopilla";"Antofagasta"
"Generador Municipal";"I MUNICIPALIDAD DE COPIAPO";"ILUSTRE MUNICIPALIDAD DE COPIAPÓ";880197;"Actividades de la administración pública en general";"Atacama";"Copiapó";"Actividades de la administración pública en general";19;"-36,68610";"-69,72805";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases de plástico";"null";64,08;"Declaración";2020;"5484304";"RELLENO SANITARIO EL CHULO";"I MUNICIPALIDAD DE COPIAPO";"Copiapó";"Atacama"
"Generador Municipal";"I MUNICIPALIDAD DE COPIAPO";"ILUSTRE MUNICIPALIDAD DE COPIAPÓ";880197;"Actividades de la administración pública en general";"Atacama";"Copiapó";"Actividades de la administración pública en general";19;"-36,68610";"-69,72805";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"null";64477,52;"Declaración";2020;"5484304";"RELLENO SANITARIO EL CHULO";"I MUNICIPALIDAD DE COPIAPO";"Copiapó";"Atacama"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE CALDERA";"ILUSTRE MUNICIPALIDAD DE CALDERA";880198;"Actividades de la administración pública en general";"Atacama";"Caldera";"Actividades de la administración pública en general";19;"-31,19254";"-70,04689";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";12788;"Declaración";2020;"5466270";"RELLENO SANITARIO CERRO MONTEVIDEO";"ILUSTRE MUNICIPALIDAD DE CALDERA";"Caldera";"Atacama"
"Generador Municipal";"I MUNICIPALIDAD DE CHANARAL";"ILUSTRE MUNICIPALIDAD DE CHAÑARAL";880196;"Actividades de mantenimiento del orden público y de seguridad";"Atacama";"Chañaral";"Actividades de mantenimiento del orden público y de seguridad";19;"-33,38114";"-70,85172";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"null";0,06;"Declaración";2020;"5485577";"VERTEDERO MUNICIPAL";"I MUNICIPALIDAD DE CHANARAL";"Chañaral";"Atacama"
"Generador Municipal";"I MUNICIPALIDAD DE VALLENAR";"ILUSTRE MUNICIPALIDAD DE VALLENAR";5441425;"Otras actividades de servicios personales n.c.p.";"Atacama";"Vallenar";"Otras actividades de servicios personales n.c.p.";19;"-32,29317";"-68,36074";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";18698,15;"Declaración";2020;"5480981";"Relleno Sanitario de la Provincia del Huasco";"ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO";"Vallenar";"Atacama"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN";"ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN";911203;"Actividades de la administración pública en general";"Atacama";"Alto del Carmen";"Actividades de la administración pública en general";19;"-35,54856";"-68,17759";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";902,12;"Declaración";2020;"5480981";"Relleno Sanitario de la Provincia del Huasco";"ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO";"Vallenar";"Atacama"
"Generador Municipal";"I MUNICIPALIDAD DE FREIRINA";"ILUSTRE MUNICIPALIDAD DE FREIRINA";880200;"Actividades de mantenimiento del orden público y de seguridad";"Atacama";"Freirina";"Actividades de mantenimiento del orden público y de seguridad";19;"-29,96479";"-68,44305";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";2200,48;"Declaración";2020;"5480981";"Relleno Sanitario de la Provincia del Huasco";"ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO";"Vallenar";"Atacama"
"Generador Municipal";"I MUNICIPALIDAD DE HUASCO";"ILUSTRE MUNICIPALIDAD DE HUASCO";880201;"Recogida de desechos no peligrosos";"Atacama";"Huasco";"Recogida de desechos no peligrosos";19;"-28,82719";"-68,49124";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";4278;"Declaración";2020;"5480981";"Relleno Sanitario de la Provincia del Huasco";"ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO";"Vallenar";"Atacama"
"Generador Municipal";"I MUNICIPALIDAD DE HUASCO";"ILUSTRE MUNICIPALIDAD DE HUASCO";880201;"Recogida de desechos no peligrosos";"Atacama";"Huasco";"Recogida de desechos no peligrosos";19;"-28,82719";"-68,49124";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Relleno sanitario";4278;"Declaración";2020;"5480981";"Relleno Sanitario de la Provincia del Huasco";"ASOCIACION DE MUNICIPALIDADES DE LA PROVINCIA DEL HUASCO";"Vallenar";"Atacama"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA SERENA";"ILUSTRE MUNICIPALIDAD DE LA SERENA";879933;"Actividades de la administración pública en general";"Coquimbo";"La Serena";"Actividades de la administración pública en general";19;"-28,82694";"-66,89933";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Preparación para reutilización";997,836;"Declaración";2020;"5453475";"BODEGA DE ENVASES DE VIDRIO Y PLANTA DE RECICLADO DE VIDRIO";"CRISTALERIAS TORO SPA";"Maipú";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA SERENA";"ILUSTRE MUNICIPALIDAD DE LA SERENA";879933;"Actividades de la administración pública en general";"Coquimbo";"La Serena";"Actividades de la administración pública en general";19;"-28,82694";"-66,89933";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";292,276;"Declaración";2020;"2372";"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A";"Padre Hurtado";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA SERENA";"ILUSTRE MUNICIPALIDAD DE LA SERENA";879933;"Actividades de la administración pública en general";"Coquimbo";"La Serena";"Actividades de la administración pública en general";19;"-28,82694";"-66,89933";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";92401,797;"Declaración";2020;"5473631";"RELLENO SANITARIO EL PANUL";"INVERSIONES PANUL LIMITADA";"Coquimbo";"Coquimbo"
"Generador Municipal";"I MUNICIPALIDAD DE COQUIMBO";"ILUSTRE MUNICIPALIDAD DE COQUIMBO";879934;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"Coquimbo";"Actividades de asociaciones empresariales y de empleadores";19;"-27,74292";"-66,83456";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Eliminación";109076;"Declaración";2020;"5473631";"RELLENO SANITARIO EL PANUL";"INVERSIONES PANUL LIMITADA";"Coquimbo";"Coquimbo"
"Generador Municipal";"I MUNICIPALIDAD DE COQUIMBO";"ILUSTRE MUNICIPALIDAD DE COQUIMBO";879934;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"Coquimbo";"Actividades de asociaciones empresariales y de empleadores";19;"-27,74292";"-66,83456";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Metales";"Pretratamiento de Metales";0,489;"Declaración";2020;"5469771";"NORTE VERDE";"RECUPERADORA DE EXCEDENTES INDUSTRIALES NORTE VERDE SPA";"Quilicura";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE COQUIMBO";"ILUSTRE MUNICIPALIDAD DE COQUIMBO";879934;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"Coquimbo";"Actividades de asociaciones empresariales y de empleadores";19;"-27,74292";"-66,83456";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje de papel, cartón y productos de papel";14,082;"Declaración";2020;"5462051";"SOREPA COQUIMBO";"SOC RECUPERADORA DE PAPEL SPA";"Coquimbo";"Coquimbo"
"Generador Municipal";"I MUNICIPALIDAD DE COQUIMBO";"ILUSTRE MUNICIPALIDAD DE COQUIMBO";879934;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"Coquimbo";"Actividades de asociaciones empresariales y de empleadores";19;"-27,74292";"-66,83456";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";5,803;"Declaración";2020;"5468895";"RECIPET SA";"RECIPET S A";"Santiago";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE COQUIMBO";"ILUSTRE MUNICIPALIDAD DE COQUIMBO";879934;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"Coquimbo";"Actividades de asociaciones empresariales y de empleadores";19;"-27,74292";"-66,83456";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";1026,58;"Declaración";2020;"1967";"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE COQUIMBO";"ILUSTRE MUNICIPALIDAD DE COQUIMBO";879934;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"Coquimbo";"Actividades de asociaciones empresariales y de empleadores";19;"-27,74292";"-66,83456";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";56;"Declaración";2020;"2372";"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A";"Padre Hurtado";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE ANDACOLLO";"ILUSTRE MUNICIPALIDAD DE ANDACOLLO";5441431;"Actividades de la administración pública en general";"Coquimbo";"Andacollo";"Actividades de la administración pública en general";19;"-30,00833";"-66,50999";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";22,26;"Declaración";2020;"5473631";"RELLENO SANITARIO EL PANUL";"INVERSIONES PANUL LIMITADA";"Coquimbo";"Coquimbo"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";597787;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"La Higuera";"Actividades de asociaciones empresariales y de empleadores";19;"-28,86749";"-67,33275";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Disposición final";11776,64;"Declaración";2020;"5473631";"RELLENO SANITARIO EL PANUL";"INVERSIONES PANUL LIMITADA";"Coquimbo";"Coquimbo"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";597787;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"La Higuera";"Actividades de asociaciones empresariales y de empleadores";19;"-28,86749";"-67,33275";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Pretratamiento de papel, cartón y productos de papel";26,839;"Declaración";2020;"5462038";"SOREPA TEMUCO";"SOC RECUPERADORA DE PAPEL SPA";"Temuco";"La Araucanía"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";597787;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"La Higuera";"Actividades de asociaciones empresariales y de empleadores";19;"-28,86749";"-67,33275";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases de papel y cartón";"Pretratamiento de papel, cartón y productos de papel";52,352;"Declaración";2020;"5462038";"SOREPA TEMUCO";"SOC RECUPERADORA DE PAPEL SPA";"Temuco";"La Araucanía"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";597787;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"La Higuera";"Actividades de asociaciones empresariales y de empleadores";19;"-28,86749";"-67,33275";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";4,08;"Declaración";2020;"4587637";"VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL";"I MUNICIPALIDAD VALDIVIA";"Valdivia";"Los Ríos"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";"ILUSTRE MUNICIPALIDAD DE LA HIGUERA";597787;"Actividades de asociaciones empresariales y de empleadores";"Coquimbo";"La Higuera";"Actividades de asociaciones empresariales y de empleadores";19;"-28,86749";"-67,33275";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";426,32;"Declaración";2020;"5461913";"VERTEDERO LICURA (MULCHEN";"EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA";"Mulchén";"Biobío"
"Generador Municipal";"I MUNICIPALIDAD PAIHUANO";"ILUSTRE MUNICIPALIDAD DE PAIHUANO";3741347;"Otras actividades de servicios personales n.c.p.";"Coquimbo";"Paiguano";"Otras actividades de servicios personales n.c.p.";19;"-35,53767";"-66,76994";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Disposición final";3100;"Declaración";2020;"null";"Destinatario Final";"SERVICIOS INDUSTRIALES Y RECICLADORA BIO BIO SOCIEDAD ANONIMA";"Talcahuano";"Biobío"
"Generador Municipal";"I MUNICIPALIDAD PAIHUANO";"ILUSTRE MUNICIPALIDAD DE PAIHUANO";3741347;"Otras actividades de servicios personales n.c.p.";"Coquimbo";"Paiguano";"Otras actividades de servicios personales n.c.p.";19;"-35,53767";"-66,76994";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje";10,5;"Declaración";2020;"1967";"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE VICUÑA";"ILUSTRE MUNICIPALIDAD DE VICUÑA";879725;"Actividades de la administración pública en general";"Coquimbo";"Vicuña";"Actividades de la administración pública en general";19;"-33,34777";"-66,76243";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";233,672;"Declaración";2020;"5453475";"BODEGA DE ENVASES DE VIDRIO Y PLANTA DE RECICLADO DE VIDRIO";"CRISTALERIAS TORO SPA";"Maipú";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE VICUÑA";"ILUSTRE MUNICIPALIDAD DE VICUÑA";879725;"Actividades de la administración pública en general";"Coquimbo";"Vicuña";"Actividades de la administración pública en general";19;"-33,34777";"-66,76243";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";17788,2;"Declaración";2020;"5467323";"HILTON BARAHONA Y CIA LIMITADA";"HILTON BARAHONA Y COMPANIA LIMITADA";"Vicuña";"Coquimbo"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE VICUÑA";"ILUSTRE MUNICIPALIDAD DE VICUÑA";879725;"Actividades de la administración pública en general";"Coquimbo";"Vicuña";"Actividades de la administración pública en general";19;"-33,34777";"-66,76243";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"null";8,1147;"Declaración";2020;"5472004";"ECO 360 E.I.R.L.";"GESTION DE RESIDUOS Y RECURSOS ESPECIALES PARA RECICLAJE RAIMUNDO CRUZ";"Coquimbo";"Coquimbo"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE VICUÑA";"ILUSTRE MUNICIPALIDAD DE VICUÑA";879725;"Actividades de la administración pública en general";"Coquimbo";"Vicuña";"Actividades de la administración pública en general";19;"-33,34777";"-66,76243";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"null";95;"Declaración";2020;"null";"null";"null";"null";"null"
