"tipo_o_rol_establecimiento";"razon_social";"nombre_establecimiento";"id_establecimiento_vu";"ciiu4";"ciiu6";"region";"comuna";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_de_establecimiento_destinatario";"razon_social_destinatario";"comuna_trazabilidad";"region_destinatario"
"Generador Municipal";"I MUNICIPALIDAD DE TALCA";"ILUSTRE MUNICIPALIDAD DE TALCA";3022588;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Maule";"Talca";-71,66543284;"-35.42591381";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";123572,05;"Declaración";2021;6054;"RELLENO SANITARIO EL RETAMO";"RELLENOS SANITARIOS DEL MAULE S A";"Talca";"Maule"
"Generador Municipal";"I MUNICIPALIDAD DE OSORNO";"ILUSTRE MUNICIPALIDAD DE OSORNO";4587532;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Los Lagos";"Osorno";-73,13581543;"-40.57450709";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";120514,333;"Declaración";2021;5463828;"VERTEDERO CURACO OSORNO";"I MUNICIPALIDAD DE OSORNO";"Osorno";"Los Lagos"
"Generador Municipal";"I MUNICIPALIDAD DE RANCAGUA";"ILUSTRE MUNICIPALIDAD DE RANCAGUA";4054478;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Libertador Gral. Bernardo O'Higgins";"Rancagua";-70,74135855;"-34.17043639";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Disposición final";119125,98;"Declaración";2021;5457604;"RELLENO SANITARIO COLIHUES LA YESCA";"I MUNICIPALIDAD DE RANCAGUA";"Requínoa";"Libertador Gral. Bernardo O'Higgins"
"Generador Municipal";"I MUNICIPALIDAD DE LAS CONDES";"ILUSTRE MUNICIPALIDAD DE LAS CONDES";4053497;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Las Condes";-70,59474808;"-33.41616322";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";117795,63;"Declaración";2021;NA;"";"";"";""
"Generador Municipal";"I MUNICIPALIDAD DE COQUIMBO";"ILUSTRE MUNICIPALIDAD DE COQUIMBO";879934;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Coquimbo";"Coquimbo";-71,33892271;"-29.95900321";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";116367,428;"Declaración";2021;5473631;"RELLENO SANITARIO EL PANUL";"INVERSIONES PANUL LIMITADA";"Coquimbo";"Coquimbo"
"Generador Municipal";"I MUNICIPALIDAD DE TALCAHUANO";"ILUSTRE MUNICIPALIDAD DE TALCAHUANO";1963655;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Talcahuano";-73,11289469;"-36.71480336";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";109759,5471;"Declaración";2021;33161;"PLANTA COPIULEMU";"HIDRONOR CHILE S.A";"Florida";"Biobío"
"Generador Municipal";"I MUNICIPALIDAD DE CONCHALI";"ILUSTRE MUNICIPALIDAD DE CONCHALÍ";4053495;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Conchalí";-70,67134319;"-33.39627046";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";103279,4;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE LA SERENA";"ILUSTRE MUNICIPALIDAD DE LA SERENA";879933;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Coquimbo";"La Serena";-71,25059803;"-29.90211211";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";102768,891;"Declaración";2021;5473631;"RELLENO SANITARIO EL PANUL";"INVERSIONES PANUL LIMITADA";"Coquimbo";"Coquimbo"
"Generador Municipal";"I MUNICIPALIDAD DE CONCEPCION";"ILUSTRE MUNICIPALIDAD DE CONCEPCIÓN";4587633;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Concepción";-73,05151529;"-36.82832797";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";101812,46;"Declaración";2021;4589480;"CEMARC SA";"CENTRO DE MANEJO DE RESIDUOS CONCEPCION SOCIEDAD ANONIMA";"Concepción";"Biobío"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE PEÑALOLÉN";"ILUSTRE MUNICIPALIDAD DE PEÑALOLÉN";4085307;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Peñalolén";-70,56278676;"-33.47191601";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";101046,2;"Declaración";2021;78709;"RELLENO SANITARIO SANTIAGO PONIENTE";"VEOLIA SU CHILE S.A.";"Maipú";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE PUNTA ARENAS";"ILUSTRE MUNICIPALIDAD DE PUNTA ARENAS";911618;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Magallanes y de la Antártica Chilena";"Punta Arenas";-70,90852261;"-53.16305192";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";95806,035;"Declaración";2021;911618;"ILUSTRE MUNICIPALIDAD DE PUNTA ARENAS";"I MUNICIPALIDAD DE PUNTA ARENAS";"Punta Arenas";"Magallanes y de la Antártica Chilena"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE PUDAHUEL";"ILUSTRE MUNICIPALIDAD DE PUDAHUEL";4053446;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Pudahuel";-70,76406429;"-33.44211514";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";92545,7;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE";"ILUSTRE MUNICIPALIDAD DE EL BOSQUE";8356;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"El Bosque";-70,66575989;"-33.55575997";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";90581;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE RENCA";"ILUSTRE MUNICIPALIDAD DE RENCA";4053447;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Renca";-70,70291266;"-33.40527419";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";87488,36;"Declaración";2021;3921963;"ESTACIÓN DE TRANSFERENCIA QUILICURA";"K D M  S A";"Quilicura";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE RECOLETA";"ILUSTRE MUNICIPALIDAD DE RECOLETA";431431;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Recoleta";-70,6436402;"-33.40158262";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";85254,41;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE QUILICURA";"ILUSTRE MUNICIPALIDAD DE QUILICURA";4053448;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Quilicura";-70,73119776;"-33.36872878";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";85142,41;"Declaración";2021;3921963;"ESTACIÓN DE TRANSFERENCIA QUILICURA";"K D M  S A";"Quilicura";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE CHILLAN";"ILUSTRE MUNICIPALIDAD DE CHILLÁN";4587735;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Ñuble";"Chillán";-72,10389279;"-36.60594636";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";80198,82;"Declaración";2021;NA;"";"";"";""
"Generador Municipal";"I MUNICIPALIDAD DE LA PINTANA";"ILUSTRE MUNICIPALIDAD DE LA PINTANA";4085306;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"La Pintana";-70,63022728;"-33.58505499";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";76223,59;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE CURICO";"ILUSTRE MUNICIPALIDAD DE CURICÓ";3023079;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Maule";"Curicó";-71,23873401;"-34.98597112";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";72883,35;"Declaración";2021;245025;"RELLENO SANITARIO PARQUE EL GUANACO";"RELLENOS SANITARIOS DEL MAULE S A";"Teno";"Maule"
"Generador Municipal";"I MUNICIPALIDAD ESTACION CENTRAL";"ILUSTRE MUNICIPALIDAD DE ESTACIÓN CENTRAL";4085309;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Estación Central";-70,68959133;"-33.45415464";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";71029,941;"Declaración";2021;78709;"RELLENO SANITARIO SANTIAGO PONIENTE";"VEOLIA SU CHILE S.A.";"Maipú";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE COPIAPO";"ILUSTRE MUNICIPALIDAD DE COPIAPÓ";880197;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Atacama";"Copiapó";-70,32850073;"-27.36167244";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";70837,07;"Declaración";2021;5484304;"RELLENO SANITARIO EL CHULO";"I MUNICIPALIDAD DE COPIAPO";"Copiapó";"Atacama"
"Generador Municipal";"I MUNICIPALIDAD DE NUNOA";"ILUSTRE MUNICIPALIDAD DE ÑUÑOA";4053498;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Ñuñoa";-70,59391382;"-33.45523248";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";70810,94;"Declaración";2021;3921963;"ESTACIÓN DE TRANSFERENCIA QUILICURA";"K D M  S A";"Quilicura";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL";"ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL";4053445;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Quinta Normal";-70,69434948;"-33.42276955";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";69683;"Declaración";2021;3921963;"ESTACIÓN DE TRANSFERENCIA QUILICURA";"K D M  S A";"Quilicura";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE PROVIDENCIA";"MUNICIPALIDAD DE PROVIDENCIA";4585273;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Providencia";-70,60931115;"-33.43201876";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";63927,49;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE BUIN";"ILUSTRE MUNICIPALIDAD DE BUIN";325223;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Buin";-70,74169329;"-33.7317616";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";62661,95;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE MELIPILLA";"ILUSTRE MUNICIPALIDAD DE MELIPILLA";4055178;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Melipilla";-71,21663668;"-33.6858259";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";61858,56;"Declaración";2021;5473212;"VERTEDERO POPETA";"I MUNICIPALIDAD DE MELIPILLA";"Melipilla";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE CERRO NAVIA";"ILUSTRE MUNICIPALIDAD DE CERRO NAVIA";8819;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Cerro Navia";-70,72883366;"-33.43496408";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";61522,42;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE MAIPU";"ILUSTRE MUNICIPALIDAD DE MAIPÚ";4053444;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Maipú";-70,76055684;"-33.51069283";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos voluminosos (incluidos muebles)";"Relleno sanitario";60896,32;"Declaración";2021;78709;"RELLENO SANITARIO SANTIAGO PONIENTE";"VEOLIA SU CHILE S.A.";"Maipú";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE LO ESPEJO";"ILUSTRE MUNICIPALIDAD DE LO ESPEJO";253481;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Lo Espejo";-70,69403057;"-33.53351653";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";59679,59;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
"Generador Municipal";"MUNICIPALIDAD DE ALTO HOSPICIO";"ILUSTRE MUNICIPALIDAD DE ALTO HOSPICIO";1136893;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Tarapacá";"Alto Hospicio";-70,10502053;"-20.26463746";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";59500;"Declaración";2021;5464263;"VERTEDERO EL BORO";"ILUSTRE MUNICIPALIDAD DE IQUIQUE";"Alto Hospicio";"Tarapacá"
"Generador Municipal";"I MUNICIPALIDAD SAN JOAQUIN";"ILUSTRE MUNICIPALIDAD DE SAN JOAQUÍN";4085312;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"San Joaquín";-70,64153152;"-33.47917671";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";58835;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE COLINA";"ILUSTRE MUNICIPALIDAD DE COLINA";325222;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Colina";-70,68396301;"-33.20507242";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";58518,44;"Declaración";2021;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A";"Tiltil";"Metropolitana de Santiago"
"Generador Municipal";"I MUNICIPALIDAD DE QUILPUE";"ILUSTRE MUNICIPALIDAD DE QUILPUÉ";4055172;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Valparaíso";"Quilpué";-71,44458343;"-33.04581033";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";57963,37;"Declaración";2021;5452216;"RELLENO SANITARIO EL MOLLE";"GESTION INTEGRAL DE RESIDUOS SPA";"Valparaíso";"Valparaíso"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE SAN PEDRO DE LA PAZ";"ILUSTRE MUNICIPALIDAD DE SAN PEDRO DE LA PAZ";4018149;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"San Pedro de la Paz";-73,00209537;"-36.83384376";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";56836,92;"Declaración";2021;NA;"DESTINATARIO FINAL";"CENTRO DE MANEJO DE RESIDUOS CONCEPCION SOCIEDAD ANONIMA";"Penco";"Biobío"
"Generador Municipal";"ILUSTRE MUNICIPALIDAD DE MACUL";"ILUSTRE MUNICIPALIDAD DE MACUL";253480;"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Macul";-70,59919723;"-33.4851503";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";56613,2;"Declaración";2021;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A";"Talagante";"Metropolitana de Santiago"
