"tipo_o_rol_declarante";"nombre_establecimiento";"razon_social";"id_establecimiento_vu";"rubro_retc";"region";"provincia";"comuna";"huso";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_establecimiento_destinatario";"razon_social_destinatario";"comuna_destinatario";"region_destinatario"
"Municipio";"I MUNICIPALIDAD DE CONCON";"I MUNICIPALIDAD DE CONCON";5465466;"Municipio";"Valparaíso";"Valparaíso";"Concón";19;264736;6354721;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";69,39;"Declaración";2018;2372;"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A | CRISTALERIAS DE CHILE  S A";"Padre Hurtado";"Metropolitana"
"Municipio";"MUNICIPALIDAD DE PROVIDENCIA";"I MUNICIPALIDAD DE PROVIDENCIA";4585273;"Municipio";"Metropolitana";"Santiago";"Providencia";19;350394;6299660;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";743,2;"Declaración";2018;2372;"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A | CRISTALERIAS DE CHILE  S A";"Padre Hurtado";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";431261;"Municipio";"Metropolitana";"Santiago";"Independencia";19;346178;6300803;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Pretratamiento de Papel y Cartón";"Valorización";7,737;"Declaración";2018;5467286;"RECICLADOS INDUSTRIALES S A PLANTA RENCA";"RECICLADOS INDUSTRIALES S.A | RECICLADOS INDUSTRIALES S A PLANTA RENCA";"Renca";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE GRANEROS";"ILUSTRE MUNICIPALIDAD DE GRANEROS";5438317;"Municipio";"Libertador Gral. Bernardo O'Higgins";"Cachapoal";"Graneros";19;340752;6229432;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";38;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CASTRO";"I MUNICIPALIDAD DE CASTRO";911517;"Municipio";"Los Lagos";"Chiloé";"Castro";18;601499;5296228;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";54,71;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE ISLA DE PASCUA";"I MUNICIPALIDAD DE ISLA DE PASCUA";4402074;"Municipio";"Valparaíso";"Isla de Pascua";"Isla de Pascua";12;655783;6996160;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";36;"Declaración";2018;5466460;"PLANTA DE ACOPIO DE RESIDUOS RECICLABLES ORITO";"I MUNICIPALIDAD DE ISLA DE PASCUA | PLANTA DE ACOPIO DE RESIDUOS RECICLABLES ORITO";"Isla de Pascua";"Valparaíso"
"Municipio";"MUNICIPALIDAD DE PUENTE ALTO";"I MUNICIPALIDAD DE PUENTE ALTO";5463019;"Municipio";"Metropolitana";"Cordillera";"Puente Alto";19;353437;6281861;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Pretratamiento de Papel y Cartón";"Valorización";208,1;"Declaración";2018;5473450;"GAIAWM MATRIZ";"GESTION AMBIENTAL INTEGRADA SPA | GAIAWM MATRIZ";"La Pintana";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CODEGUA";"I MUNICIPALIDAD DE CODEGUA";4054480;"Municipio";"Libertador Gral. Bernardo O'Higgins";"Cachapoal";"Codegua";19;346042;6232254;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";4025,83;"Declaración";2018;5457604;"RELLENO SANITARIO COLIHUES LA YESCA";"I MUNICIPALIDAD DE RANCAGUA | RELLENO SANITARIO COLIHUES LA YESCA";"Requínoa";"Libertador Gral. Bernardo O'Higgins"
"Municipio";"ILUSTRE MUNICIPALIDAD DE VILLA ALEMANA";"I MUNICIPALIDAD DE VILLA ALEMANA";4055174;"Municipio";"Valparaíso";"Marga Marga";"Villa Alemana";19;276782;6340442;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Aceites y grasas comestibles";"Preparación para reutilización";"Valorización";3,9;"Declaración";2018;5459970;"BIOILS SPA";"BIOILS SPA | BIOILS SPA";"Maipú";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE SANTIAGO";"I MUNICIPALIDAD DE SANTIAGO";5441724;"Municipio";"Metropolitana";"Santiago";"Santiago";19;346580;6298956;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Metales";"Pretratamiento de Metales";"Valorización";0,52;"Declaración";2018;5467286;"RECICLADOS INDUSTRIALES S A PLANTA RENCA";"RECICLADOS INDUSTRIALES S.A | RECICLADOS INDUSTRIALES S A PLANTA RENCA";"Renca";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";4053500;"Municipio";"Metropolitana";"Santiago";"La Florida";19;351534;6289621;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Aceites y grasas comestibles";"Pretratamiento de aceites y grasas comestibles";"Valorización";153,08;"Declaración";2018;5459970;"BIOILS SPA";"BIOILS SPA | BIOILS SPA";"Maipú";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LONGAVÍ";"ILUSTRE MUNICIPALIDAD DE LONGAVÍ";3023089;"Municipio";"Maule";"Linares";"Longaví";19;258038;6016757;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Residuos biodegradables de cocinas y restaurantes";"Relleno sanitario";"Eliminación";5;"Declaración";2018;NA;"";"STARCO S.A.";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";4053500;"Municipio";"Metropolitana";"Santiago";"La Florida";19;351534;6289621;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Pretratamiento de Papel y Cartón";"Valorización";114,45;"Declaración";2018;5467277;"RECICLADOS INDUSTRIALES LA PINTANA";"RECICLADOS INDUSTRIALES S.A | RECICLADOS INDUSTRIALES LA PINTANA";"La Pintana";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE RENCA";"ILUSTRE MUNICIPALIDAD DE RENCA";4053447;"Municipio";"Metropolitana";"Santiago";"Renca";19;341643;6302487;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Pretratamiento de Papel y Cartón";"Valorización";21,09;"Declaración";2018;5467294;"RECICLADOS INDUSTRIALES PLACILLA";"RECICLADOS INDUSTRIALES S.A | RECICLADOS INDUSTRIALES PLACILLA";"Valparaíso";"Valparaíso"
"Municipio";"ILUSTRE MUNICIPALIDAD DE PEÑALOLÉN";"ILUSTRE MUNICIPALIDAD DE PEÑALOLÉN";4085307;"Municipio";"Metropolitana";"Santiago";"Peñalolén";19;354786;6295302;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";104787;"Declaración";2018;78709;"RELLENO SANITARIO SANTIAGO PONIENTE";"VEOLIA SU CHILE SA | RELLENO SANITARIO SANTIAGO PONIENTE";"Maipú";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE SAN MIGUEL";"I MUNICIPALIDAD DE SAN MIGUEL";253465;"Municipio";"Metropolitana";"Santiago";"San Miguel";19;346733;6293634;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";41,23;"Declaración";2018;5468895;"RECIPET SA";"RECIPET S A | RECIPET SA";"Santiago";"Metropolitana"
"Municipio";"I MUNICIPALIDAD DE CONCON";"I MUNICIPALIDAD DE CONCON";5465466;"Municipio";"Valparaíso";"Valparaíso";"Concón";19;264736;6354721;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Relleno sanitario";"Eliminación";1,5;"Declaración";2018;5452216;"RELLENO SANITARIO EL MOLLE";"GESTION INTEGRAL DE RESIDUOS S A | RELLENO SANITARIO EL MOLLE";"Valparaíso";"Valparaíso"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CURICÓ";"I MUNICIPALIDAD DE CURICO";3023079;"Municipio";"Maule";"Curicó";"Curicó";19;295659;6126223;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";63348,84;"Declaración";2018;4587897;"CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE";"ECOMAULE S A | CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE";"Río Claro";"Maule"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CALERA DE TANGO";"I MUNICIPALIDAD DE CALERA DE TANGO";5441689;"Municipio";"Metropolitana";"Maipo";"Calera de Tango";19;336617;6277457;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";1,93;"Declaración";2018;5460788;"ULTRAPAC SUDAMERICA SA";"ULTRA PAC SUDAMERICA S A | ULTRAPAC SUDAMERICA SA";"Pudahuel";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE GALVARINO";"ILUSTRE MUNICIPALIDAD DE GALVARINO";1965230;"Municipio";"Araucanía";"Cautín";"Galvarino";18;693649;5746490;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";136,61;"Declaración";2018;5461913;"VERTEDERO LICURA (MULCHEN";"EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA | VERTEDERO LICURA (MULCHEN";"Mulchén";"Biobío"
"Municipio";"ILUSTRE MUNICIPALIDAD DE NACIMIENTO DEPARTAMENTO DE SLAUD";"I MUNICIPALIDAD DE NACIMIENTO";1963515;"Municipio";"Biobío";"Biobío";"Nacimiento";18;705897;5846841;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";44,63;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LAMPA";"ILUSTRE MUNICIPALIDAD DE LAMPA";325221;"Municipio";"Metropolitana";"Chacabuco";"Lampa";19;325103;6315559;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";23,65;"Declaración";2018;2372;"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A | CRISTALERIAS DE CHILE  S A";"Padre Hurtado";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";"ILUSTRE MUNICIPALIDAD DE LA FLORIDA";4053500;"Municipio";"Metropolitana";"Santiago";"La Florida";19;351534;6289621;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";0,2;"Declaración";2018;5460689;"GREENPLAST SA";"GREENPLAST SA | GREENPLAST SA";"Lampa";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CASABLANCA";"ILUSTRE MUNICIPALIDAD DE CASABLANCA";4055173;"Municipio";"Valparaíso";"Valparaíso";"Casablanca";19;275743;6311509;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";4990;"Declaración";2018;5452216;"RELLENO SANITARIO EL MOLLE";"GESTION INTEGRAL DE RESIDUOS S A | RELLENO SANITARIO EL MOLLE";"Valparaíso";"Valparaíso"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA PINTANA";"ILUSTRE MUNICIPALIDAD DE LA PINTANA";4085306;"Municipio";"Metropolitana";"Santiago";"La Pintana";19;348716;6282660;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";71311,77;"Declaración";2018;97614;"RELLENO SANITARIO SANTA MARTA";"CONSORCIO SANTA MARTA S A | RELLENO SANITARIO SANTA MARTA";"Talagante";"Metropolitana"
"Municipio";"MUNICIPALIDAD DE LA REINA";"ILUSTRE MUNICIPALIDAD DE LA REINA";4053499;"Municipio";"Metropolitana";"Santiago";"La Reina";19;357800;6297500;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Relleno sanitario";"Eliminación";808,88;"Declaración";2018;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE VILLARRICA";"I MUNICIPALIDAD DE VILLARRICA";1986455;"Municipio";"Araucanía";"Cautín";"Villarrica";18;739151;5648121;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";43;"Declaración";2018;5468895;"RECIPET SA";"RECIPET S A | RECIPET SA";"Santiago";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE COLBUN";"ILUSTRE MUNICIPALIDAD DE COLBUN";5473414;"";"Maule";"Linares";"Colbún";19;282694;6046992;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";47,28;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA ESTRELLA";"ILUSTRE MUNICIPALIDAD DE LA ESTRELLA";3023306;"Municipio";"Libertador Gral. Bernardo O'Higgins";"Cardenal Caro";"La Estrella";19;255400;6211905;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";1039;"Declaración";2018;5469309;"INGENIERIA Y CONSTRUCCIONES CARDENAL CARO LTDA";"INGENIERIA Y CONSTRUCCIONES CARDENAL CARO LIMITADA | INGENIERIA Y CONSTRUCCIONES CARDENAL CARO LTDA";"Pichilemu";"Libertador Gral. Bernardo O'Higgins"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LAMPA";"ILUSTRE MUNICIPALIDAD DE LAMPA";325221;"Municipio";"Metropolitana";"Chacabuco";"Lampa";19;325103;6315559;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Eliminación";"Eliminación";0,45;"Declaración";2018;NA;"";"MENOR 12 DE TONELADAS ANUALES |  MENOR 12 DE TONELADAS ANUALES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LAJA";"ILUSTRE MUNICIPALIDAD DE LAJA";325228;"Municipio";"Biobío";"Biobío";"Laja";18;702202;5872579;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Pretratamiento (Centro de Acopio)";"Valorización";1,69;"Declaración";2018;5465904;"GREENWALK LTDA";"SOCIEDAD INMOBILIARIA E INVERSIONES GREENWALK LTDA. | GREENWALK LTDA";"Los Angeles";"Biobío"
"Municipio";"ILUSTRE MUNICIPALIDAD DE VICHUQUÉN";"I MUNICIPALIDAD DE VICHUQUEN";3023084;"Municipio";"Maule";"Curicó";"Vichuquén";19;226502;6135558;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";1775,58;"Declaración";2018;4587897;"CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE";"ECOMAULE S A | CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE";"Río Claro";"Maule"
"Municipio";"ILUSTRE MUNICIPALIDAD DE LA CALERA";"ILUSTRE MUNICIPALIDAD DE LA CALERA";5441461;"Municipio";"Valparaíso";"Quillota";"Calera";19;293940;6369967;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";23;"Declaración";2018;1967;"CRISTALERIAS TORO SPA";"CRISTALERIAS TORO SPA | CRISTALERIAS TORO SPA";"Cerrillos";"Metropolitana"
