Tipo o Rol declarante;Razón Social;Nombre Establecimiento;ID Establecimiento VU;Rubro;CIIU4;Región;Provincia;Comuna;Latitud;Longitud;Capítulo LER;Subcapítulo LER;Nombre LER;Cantidad (Toneladas);Año;Razón Social Destinatario;Nombre de Establecimiento Destinatario;Tipo de Tratamiento;Región Destinatario;Provincia Destinatario;Comuna Destinatario
Municipio;I MUNICIPALIDAD DE PROVIDENCIA;MUNICIPALIDAD DE PROVIDENCIA;4585273;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Providencia;-33,43201876;-70,60931115;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;90,35;2015;Villalobos e Hijo Ltda.;Villalobos e Hijo Ltda.;Relleno sanitario;null;null;null
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Arauco;Los Alamos;-37,62612516;-73,4622622;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;670,22;2015;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;Relleno sanitario;null;null;null
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Arauco;Los Alamos;-37,62612516;-73,4622622;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;560,57;2015;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;Relleno sanitario;null;null;null
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Arauco;Los Alamos;-37,62612516;-73,4622622;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;623,47;2015;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;Relleno sanitario;null;null;null
Municipio;I MUNICIPALIDAD DE LOTA;ILUSTRE MUNICIPALIDAD DE LOTA;1963660;;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Concepción;Lota;-37,09460612;-73,1555629;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;15573,04;2015;HIDRONOR CHILE S A;PLANTA COPIULEMU;Relleno sanitario;Metropolitana de Santiago;Santiago;Las Condes
Municipio;I MUNICIPALIDAD DE VILLA ALEMANA;ILUSTRE MUNICIPALIDAD DE VILLA ALEMANA;4055174;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;Marga Marga;Villa Alemana;-33,05168985;-71,39062117;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;141;2015;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Reciclaje de vidrio;Metropolitana de Santiago;Santiago;Cerrillos
Municipio;ILUSTRE MUNICIPALIDAD DE ANTUCO;ILUSTRE MUNICIPALIDAD DE ANTUCO;325230;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Biobío;Antuco;-37,32999317;-71,68019715;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;1063,11;2015;DEMARCO S A;RELLENO SANITARIO LOS ANGELES;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;I MUNICIPALIDAD DE LA UNION;ILUSTRE MUNICIPALIDAD DE LA UNIÓN;911604;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Ríos;Ranco;La Unión;-40,2910189;-73,0810331;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;726;2015;I MUNICIPALIDAD VALDIVIA;VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL;Vertedero;Los Ríos;Valdivia;Valdivia
Municipio;I MUNICIPALIDAD DE LA UNION;ILUSTRE MUNICIPALIDAD DE LA UNIÓN;911604;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Ríos;Ranco;La Unión;-40,2910189;-73,0810331;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;779;2015;I MUNICIPALIDAD VALDIVIA;VERTEDERO DE MORROMPULLI Y EDIFICIO CONSISTORIAL;Vertedero;Los Ríos;Valdivia;Valdivia
Municipio;ILUSTRE MUNICIPALIDAD DE CUREPTO;ILUSTRE MUNICIPALIDAD DE CUREPTO;5441514;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Maule;Talca;Curepto;-35,09585024;-72,02089146;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;121,58;2015;RELLENOS SANITARIOS DEL MAULE S A;RELLENO SANITARIO DEL MAULE S.A.;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;I MUNICIPALIDAD DE ANGOL;ILUSTRE MUNICIPALIDAD DE ANGOL;19771;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Araucanía;Malleco;Angol;-37,81063268;-72,69341945;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Plásticos;13,6;2015;Centro Acopio de Materiales reciclables Punto Verde;Centro Acopio de Materiales reciclables Punto Verde;Reciclaje de plásticos;null;null;null
Municipio;ILUSTRE MUNICIPALIDAD DE LA REINA;MUNICIPALIDAD DE LA REINA;4053499;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;La Reina;-33,45250246;-70,53001214;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos municipales no especificados en otra categoría;1077,22;2015;K D M  S A;RELLENO SANITARIO LOMA LOS COLORADOS;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;431261;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Independencia;-33,42111682;-70,65445084;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Vidrio;86,5;2015;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Reciclaje de vidrio;Metropolitana de Santiago;Santiago;Cerrillos
Municipio;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;431261;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Independencia;-33,42111682;-70,65445084;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Otras fracciones no especificadas en otra categoría;1,12;2015;RECUPAC S A;RECUPAC S A;Reciclaje de papel, cartón y productos de papel;Metropolitana de Santiago;Santiago;Huechuraba
Municipio;ILUSTRE MUNICIPALIDAD DE LOS VILOS;ILUSTRE MUNICIPALIDAD DE LOS VILOS;879731;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Coquimbo;Choapa;Los Vilos;-31,91004373;-71,51140777;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;15300;2015;Vertedero Municipalidad de Los Vilos ;Vertedero Municipalidad de Los Vilos ;Vertedero;null;null;null
Municipio;I MUNICIPALIDAD DE PERQUENCO;ILUSTRE MUNICIPALIDAD DE PERQUENCO;1965231;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Araucanía;Cautín;Perquenco;-38,42155456;-72,3784575;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;30;2015;I MUNICIPALIDAD DE TEMUCO;CENTRO DE DISPOSICIÓN FINAL DE RESIDUOS SOLIDOS MUNICIPALES  BOYECO;Vertedero;Araucanía;Cautín;Temuco
Municipio;I MUNICIPALIDAD DE RECOLETA;ILUSTRE MUNICIPALIDAD DE RECOLETA;431431;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Recoleta;-33,40158262;-70,6436402;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos voluminosos;4067;2015;K D M  S A;RELLENO SANITARIO LOMA LOS COLORADOS;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;I MUNICIPALIDAD DE RECOLETA;ILUSTRE MUNICIPALIDAD DE RECOLETA;431431;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Recoleta;-33,40158262;-70,6436402;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;43,75;2015;RECUPAC S A;RECUPAC S A;Reciclaje de papel, cartón y productos de papel;Metropolitana de Santiago;Santiago;Huechuraba
Municipio;I MUNICIPALIDAD DE VILLA ALEGRE;ILUSTRE MUNICIPALIDAD DE VILLA ALEGRE;3023085;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Maule;Linares;Villa Alegre;-35,67619218;-71,74391324;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;3858,17;2015;RELLENOS SANITARIOS DEL MAULE S A;RELLENO SANITARIO DEL MAULE S.A.;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;ILUSTRE MUNICIPALIDAD DE TALCAHUANO;ILUSTRE MUNICIPALIDAD DE TALCAHUANO;1963655;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Concepción;Talcahuano;-36,71480336;-73,11289469;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Madera distinta de la especificada en el código 20 01 37;0,529;2015;BIOMASA CHILE S.A;PLANTA BIOMASA INDUSTRIAL TALCAHUANO;Residuos voluminosos;Bío-Bío;Biobío;Los Angeles
Municipio;I MUNICIPALIDAD DE PUCHUNCAVI;ILUSTRE MUNICIPALIDAD DE PUCHUNCAVÍ;4055168;;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;Valparaíso;Puchuncaví;-32,7264243;-71,41615266;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;17500;2015;I MUNICIPALIDAD DE PUCHUNCAVI;VERTEDERO MUNICIPAL PUCHUNCAVI;Vertedero;Valparaíso;Valparaíso;Puchuncaví
Municipio;I MUNICIPALIDAD DE TUCAPEL;ILUSTRE MUNICIPALIDAD DE TUCAPEL;3022599;;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Biobío;Tucapel;-37,29230732;-71,9512158;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;2973,77;2015;DEMARCO S A;RELLENO SANITARIO LOS ANGELES;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;ILUSTRE MUNICIPALIDAD DE SAN ESTEBAN;ILUSTRE MUNICIPALIDAD DE SAN ESTEBAN;2369794;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Valparaíso;Los Andes;San Esteban;-32,79993547;-70,5791026;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;4126;2015;SERVICIOS GEA LIMITADA;SERVICIOS GEA LTDA;Relleno sanitario;Valparaíso;San Felipe de Aconcagua;San Felipe
Municipio;I MUNICIPALIDAD DE SAN MIGUEL;ILUSTRE MUNICIPALIDAD DE SAN MIGUEL;253465;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;San Miguel;-33,48583178;-70,6497074;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Metales;0,01626;2015;RECUPAC S A;RECUPAC S A;Reciclaje de papel, cartón y productos de papel;Metropolitana de Santiago;Santiago;Huechuraba
Municipio;ILUSTRE MUNICIPALIDAD DE COINCO;ILUSTRE MUNICIPALIDAD DE COINCO;3022123;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Libertador General Bernardo Ohiggins;Cachapoal;Coinco;-34,26972689;-70,95170635;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Residuos de parques y jardines (incluidos los residuos de cementerios);Tierra y piedras;13,78;2015;I MUNICIPALIDAD DE RANCAGUA;RELLENO SANITARIO COLIHUES LA YESCA;Relleno sanitario;Libertador General Bernardo Ohiggins;Cachapoal;Rancagua
Municipio;ILUSTRE MUNICIPALIDAD DE SAN PABLO;ILUSTRE MUNICIPALIDAD DE SAN PABLO;911191;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Lagos;Osorno;San Pablo;-40,4120973;-73,01204766;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;2510;2015;I MUNICIPALIDAD DE OSORNO;VERTEDERO CURACO OSORNO;Vertedero;Los Lagos;Osorno;Osorno
Municipio;I MUNICIPALIDAD DE PANGUIPULLI;ILUSTRE MUNICIPALIDAD DE PANGUIPULLI;911609;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Ríos;Valdivia;Panguipulli;-39,64363465;-72,33649418;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 20 01 21, 20 01 23 y 20 01 35;6,11;2015;SOCIEDAD DE RECICLAJE CHILERECICLA E-WASTE LIMITADA;CHILERECICLA;Residuos voluminosos;Ñuble;Diguillín;Chillán
Municipio;I MUNICIPALIDAD DE LOS ANGELES;ILUSTRE MUNICIPALIDAD DE LOS ÁNGELES;1963508;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Biobío;Los Angeles;-37,47107269;-72,35094896;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Residuos de parques y jardines (incluidos los residuos de cementerios);Residuos biodegradables;4570,29;2015;DEMARCO S A;RELLENO SANITARIO LOS ANGELES;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;I MUNICIPALIDAD DE LOS ANGELES;ILUSTRE MUNICIPALIDAD DE LOS ÁNGELES;1963508;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Biobío;Los Angeles;-37,47107269;-72,35094896;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos voluminosos;31595,49;2015;DEMARCO S A;RELLENO SANITARIO LOS ANGELES;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;ILUSTRE MUNICIPALIDAD DE CABRERO;ILUSTRE MUNICIPALIDAD DE CABRERO;4540291;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Bío-Bío;Biobío;Cabrero;-37,03749508;-72,40593661;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;4495,98;2015;EMPRESA DE SERVICIOS MECANIZADOS ASEOS Y ROCES LTDA;VERTEDERO LICURA (MULCHEN;Vertedero;Bío-Bío;Concepción;Hualpen
Municipio;ILUSTRE MUNICIPALIDAD DE CANELA;ILUSTRE MUNICIPALIDAD DE CANELA;325220;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Coquimbo;Choapa;Canela;-31,39816597;-71,45809523;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);Papel y cartón;3830;2015;ILUSTRE MUNICIPALIDAD DE CANELA;ILUSTRE MUNICIPALIDAD DE CANELA;Vertedero;null;null;null
Municipio;I MUNICIPALIDAD DE PARRAL;ILUSTRE MUNICIPALIDAD DE PARRAL;3770460;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Maule;Linares;Parral;-33,73094111;-70,74232428;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;12514,21;2015;ECOBIO SA;ECOBIO;Relleno sanitario;Ñuble;Diguillín;Chillan Viejo
Municipio;ILUSTRE MUNICIPALIDAD DE CERRO NAVIA;ILUSTRE MUNICIPALIDAD DE CERRO NAVIA;8819;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;Cerro Navia;-33,43496408;-70,72883366;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Residuos voluminosos;7750;2015;K D M  S A;RELLENO SANITARIO LOMA LOS COLORADOS;Relleno sanitario;Metropolitana de Santiago;Santiago;Quilicura
Municipio;I MUNICIPALIDAD DE SAN JUAN DE LA COSTA;ILUSTRE MUNICIPALIDAD DE SAN JUAN DE LA COSTA;4701811;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Los Lagos;Osorno;San Juan de la Costa;-40,60479935;-73,46832431;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;2063;2015;MUNICIPALIDAD DE OSORNO;MUNICIPALIDAD DE OSORNO;Vertedero;null;null;null
Municipio;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;ILUSTRE MUNICIPALIDAD DE LA FLORIDA;4053500;Municipio;Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares;Metropolitana de Santiago;Santiago;La Florida;-33,52269055;-70,59871433;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;Otros residuos municipales;Mezclas de residuos municipales;174717,49;2015;CONSORCIO SANTA MARTA S A;RELLENO SANITARIO SANTA MARTA;Relleno sanitario;Metropolitana de Santiago;Maipo;San Bernardo
