"tipo_o_rol_declarante";"razon_social";"nombre_establecimiento";"id_establecimiento_vu";"rubro_retc";"ciiu6";"ciiu4";"region";"provincia";"comuna";"huso";"coordenada_este";"coordenada_norte";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"ano";"id_establecimiento_vu_destinatario";"nombre_establecimiento_destinatario";"razon_social_destinatario";"comuna_destinatario";"region_destinatario"
"Municipio";"ILUSTRE MUNICIPALIDAD DE HIJUELAS";"ILUSTRE MUNICIPALIDAD DE HIJUELAS";3970391;"Otras actividades";"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales";"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social";"Valparaíso";"Quillota";"Hijuelas";19;299268;6369072;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";4686,79;"Declaración";2019;NA;"";"Empresa de Aseo Cordillera SPA";"";""
"Municipio";"I MUNICIPALIDAD DE CONCON";"I MUNICIPALIDAD DE CONCON";5465466;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Valparaíso";"Valparaíso";"Concón";19;264736;6354721;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Preparación para reutilización";"Valorización";2,3668;"Declaración";2019;NA;"";"NORMA EVELYN TAPIA FARFAN";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE QUINCHAO";"ILUSTRE MUNICIPALIDAD DE QUINCHAO";911614;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Los Lagos";"Chiloé";"Quinchao";18;629376;5289207;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje de papel, cartón y productos de papel";"Valorización";3,79;"Declaración";2019;NA;"";"Lorena Lopez Schencke E.I.R.L.";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE QUINCHAO";"ILUSTRE MUNICIPALIDAD DE QUINCHAO";911614;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Los Lagos";"Chiloé";"Quinchao";18;629376;5289207;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";5,05;"Declaración";2019;NA;"";"Lorena Lopez Schencke E.I.R.L.";"";""
"Municipio";"I MUNICIPALIDAD DE PALENA";"ILUSTRE MUNICIPALIDAD DE PALENA";911616;"Otras actividades";"Otras actividades de servicios personales n.c.p.";"Otras actividades de servicios personales n.c.p.";"Los Lagos";"Palena";"Palena";19;274068;5166888;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";600;"Declaración";2019;NA;"";"ILUSTRE MUNICIPALIDAD DE PALENA";"";""
"Municipio";"I MUNICIPALIDAD DE MARCHIGUE";"ILUSTRE MUNICIPALIDAD DE MARCHIHUE";3023305;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Libertador Gral. Bernardo O'Higgins";"Cardenal Caro";"Marchihue";19;259245;6190744;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";1486;"Declaración";2019;NA;"";"Municipalidad de Marchigue";"";""
"Municipio";"I MUNICIPALIDAD DE LA LIGUA";"ILUSTRE MUNICIPALIDAD DE LA LIGUA";881994;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Valparaíso";"Petorca";"La Ligua";19;290221;6407507;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";72;"Declaración";2019;NA;"";"Transcoll";"";""
"Municipio";"I MUNICIPALIDAD DE OSORNO";"ILUSTRE MUNICIPALIDAD DE OSORNO";4587532;"Otras actividades";"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales";"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social";"Los Lagos";"Osorno";"Osorno";18;657789;5506805;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";36,7;"Declaración";2019;NA;"";"RECICLAJE RAHUE";"";""
"Municipio";"I MUNICIPALIDAD DE OSORNO";"ILUSTRE MUNICIPALIDAD DE OSORNO";4587532;"Otras actividades";"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales";"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social";"Los Lagos";"Osorno";"Osorno";18;657789;5506805;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Reciclaje de plásticos";"Valorización";3,2;"Declaración";2019;NA;"";"RECICLAJE RAHUE";"";""
"Municipio";"I MUNICIPALIDAD DE PIRQUE";"ILUSTRE MUNICIPALIDAD DE PIRQUE";4053455;"Otras actividades";"Otras actividades de servicios personales n.c.p.";"Otras actividades de servicios personales n.c.p.";"Metropolitana de Santiago";"Cordillera";"Pirque";19;256811;6167669;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Relleno sanitario";"Eliminación";9485;"Declaración";2019;NA;"";"Consorcio Santa Marta S.A";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS VILOS";"ILUSTRE MUNICIPALIDAD DE LOS VILOS";879731;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Coquimbo";"Choapa";"Los Vilos";19;262519;6466783;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";27000;"Declaración";2019;NA;"";"VERTEDERO MUNICIPALIDAD DE LOS VILOS";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";5441557;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Arauco";"Los Álamos";18;635696;5834554;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";850,88;"Declaración";2019;NA;"";"JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";5441557;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Arauco";"Los Álamos";18;635696;5834554;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";772,2;"Declaración";2019;NA;"";"JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";5441557;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Arauco";"Los Álamos";18;635696;5834554;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";783,07;"Declaración";2019;NA;"";"JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";5441557;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Arauco";"Los Álamos";18;635696;5834554;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";710,53;"Declaración";2019;NA;"";"JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";5441557;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Arauco";"Los Álamos";18;635696;5834554;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";758,9;"Declaración";2019;NA;"";"JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";5441557;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Arauco";"Los Álamos";18;635696;5834554;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";742,9;"Declaración";2019;NA;"";"JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";"ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS";5441557;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Biobío";"Arauco";"Los Álamos";18;635696;5834554;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";753,95;"Declaración";2019;NA;"";"JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE SAN FELIPE";"ILUSTRE MUNICIPALIDAD DE SAN FELIPE";4054472;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Valparaíso";"San Felipe de Aconcagua";"San Felipe";19;338334;6375096;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Pretratamiento de plásticos";"Valorización";13,389;"Declaración";2019;NA;"";"INGENIERIA Y DESARROLLO SUSTENTA LTDA.";"";""
"Municipio";"I MUNICIPALIDAD DE TREHUACO";"ILUSTRE MUNICIPALIDAD DE TREGUACO";912284;"";"";"";"Ñuble";"Itata";"Treguaco";18;709219;5965801;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Relleno sanitario";"Eliminación";7378,83;"Declaración";2019;NA;"";"Ecobio S.A";"";""
"Municipio";"I MUNICIPALIDAD DE PUQUELDON";"ILUSTRE MUNICIPALIDAD DE PUQUELDÓN";911613;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Los Lagos";"Chiloé";"Puqueldón";18;615117;5280847;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";2646;"Declaración";2019;NA;"";"municipalidad puqueldon";"";""
"Municipio";"I MUNICIPALIDAD DE FREIRE";"ILUSTRE MUNICIPALIDAD DE FREIRE";1965237;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Araucanía";"Cautín";"Freire";18;705605;5685922;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";5081;"Declaración";2019;NA;"";"Municipalidad de Freire";"";""
"Municipio";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";431261;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Santiago";"Independencia";19;346178;6300803;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Reciclaje de vidrio";"Valorización";98,31;"Declaración";2019;2372;"CRISTALERIAS DE CHILE  S A";"CRISTALERIAS DE CHILE S A | CRISTALERIAS DE CHILE  S A";"Padre Hurtado";"Metropolitana de Santiago"
"Municipio";"I MUNICIPALIDAD DE TIERRA AMARILLA";"MUNICIPALIDAD DE TIERRA AMARILLA";5464811;"Otras actividades";"Actividades de mantenimiento del orden público y de seguridad";"Actividades de mantenimiento del orden público y de seguridad";"Atacama";"Copiapó";"Tierra Amarilla";19;374894;6959564;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Relleno sanitario";"Eliminación";4094,06;"Declaración";2019;5458426;"BASE COPIAPO";"COSEMAR S A | BASE COPIAPO";"Copiapó";"Atacama"
"Municipio";"ILUSTRE MUNICIPALIDAD DE RENCA";"ILUSTRE MUNICIPALIDAD DE RENCA";4053447;"Otras actividades";"Otras actividades de servicios personales n.c.p.";"Otras actividades de servicios personales n.c.p.";"Metropolitana de Santiago";"Santiago";"Renca";19;341643;6302487;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Pretratamiento de plásticos";"Valorización";17,49;"Declaración";2019;5467286;"RECICLADOS INDUSTRIALES S A PLANTA RENCA";"RECICLADOS INDUSTRIALES S.A | RECICLADOS INDUSTRIALES S A PLANTA RENCA";"Renca";"Metropolitana de Santiago"
"Municipio";"I MUNICIPALIDAD DE SALAMANCA";"ILUSTRE MUNICIPALIDAD DE SALAMANCA";879730;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Coquimbo";"Choapa";"Salamanca";19;314348;6481999;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";16592,72;"Declaración";2019;5461047;"VERTEDERO MUNICIPAL EL QUEÑE";"I MUNICIPALIDAD DE SALAMANCA | VERTEDERO MUNICIPAL EL QUEÑE";"Salamanca";"Coquimbo"
"Municipio";"I MUNICIPALIDAD DE CHILLAN";"ILUSTRE MUNICIPALIDAD DE CHILLÁN";4587735;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Ñuble";"Diguillín";"Chillán";18;759040;5944934;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Relleno sanitario";"Eliminación";72409,19;"Declaración";2019;244575;"ECOBIO";"ECOBIO SA | ECOBIO";"Chillán Viejo";"Ñuble"
"Municipio";"I MUNICIPALIDAD DE PELLUHUE";"ILUSTRE MUNICIPALIDAD DE PELLUHUE";4085541;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Maule";"Cauquenes";"Pelluhue";18;719092;6033951;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Relleno sanitario";"Eliminación";4391;"Declaración";2019;6054;"RELLENO SANITARIO DEL MAULE S.A.";"RELLENOS SANITARIOS DEL MAULE S A | RELLENO SANITARIO DEL MAULE S.A.";"Talca";"Maule"
"Municipio";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";"ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA";431261;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Santiago";"Independencia";19;346178;6300803;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Pretratamiento de Papel y Cartón";"Valorización";1,93;"Declaración";2019;5459117;"SOREPA";"SOC RECUPERADORA DE PAPEL SPA | SOREPA";"San Joaquín";"Metropolitana de Santiago"
"Municipio";"I MUNICIPALIDAD DE PUENTE ALTO";"MUNICIPALIDAD DE PUENTE ALTO";5463019;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Cordillera";"Puente Alto";19;353437;6281861;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Papel y cartón";"Reciclaje";"Valorización";287,3;"Declaración";2019;5462818;"RECUPAC SUCURSAL LA SERENA";"RECUPAC S A | RECUPAC SUCURSAL LA SERENA";"La Serena";"Coquimbo"
"Municipio";"ILUSTRE MUNICIPALIDAD DE CERRO NAVIA";"ILUSTRE MUNICIPALIDAD DE CERRO NAVIA";8819;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Santiago";"Cerro Navia";19;339287;6299155;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos de mercados";"Relleno sanitario";"Eliminación";3022;"Declaración";2019;7803;"RELLENO SANITARIO LOMA LOS COLORADOS";"K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS";"Tiltil";"Metropolitana de Santiago"
"Municipio";"ILUSTRE MUNICIPALIDAD DE YERBAS BUENAS";"ILUSTRE MUNICIPALIDAD DE YERBAS BUENAS";3023087;"";"";"";"Maule";"Linares";"Yerbas Buenas";19;266376;6040692;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Vertedero";"Eliminación";3383,67;"Declaración";2019;5464026;"RELLENO SANITARIO SAN ROQUE";"SOCIEDAD ARQUITECTURA Y PAISAJISMO RIO MAULE LTDA | RELLENO SANITARIO SAN ROQUE";"San Clemente";"Maule"
"Municipio";"I MUNICIPALIDAD LO BARNECHEA";"ILUSTRE MUNICIPALIDAD DE LO BARNECHEA";8825;"Otras actividades";"Actividades de la administración pública en general";"Actividades de la administración pública en general";"Metropolitana de Santiago";"Santiago";"Lo Barnechea";19;361038;6307360;"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Pretratamiento de plásticos";"Valorización";33,027;"Declaración";2019;5461522;"RECUPAC SUCURSAL CERRILLOS";"RECUPAC S A | RECUPAC SUCURSAL CERRILLOS";"Cerrillos";"Metropolitana de Santiago"
